package_name,country_code,total_downloads
portalocker,US,1728580
trio,US,1724917
idna,SG,1723785
pandas-stubs,US,1718498
google-cloud-resource-manager,US,1717401
types-awscrt,US,1715856
mcp,US,1712469
ecdsa,US,1710857
grpcio-status,BE,1709961
xgboost,US,1703489
imageio,US,1700095
packaging,IE,1696929
requests,NL,1691429
toolz,US,1689811
types-s3transfer,US,1686006
deprecation,US,1684572
google-cloud-workflows,US,1680754
omegaconf,US,1674121
altair,US,1673625
lazy-object-proxy,US,1670084
colorlog,US,1663788
events,US,1663184
azure-keyvault-secrets,US,1660056
pyyaml,DE,1658532
schema,US,1654100
pylint,US,1653625
botocore,JP,1653224
grpcio-status,JP,1652367
dbt-common,US,1647927
pyyaml,IE,1640920
google-cloud-language,US,1637702
webcolors,US,1637436
google-cloud-dataform,US,1626674
pipenv,US,1616749
seaborn,US,1616711
click-plugins,US,1613753
fqdn,US,1602620
retry,US,1600429
sentencepiece,US,1598936
xxhash,US,1594569
coloredlogs,US,1594354
datasets,US,1589125
gcsfs,US,1586793
isoduration,US,1585293
cryptography,IE,1580116
django,US,1578959
h5py,US,1577212
uri-template,US,1576740
absl-py,US,1576470
google-cloud-videointelligence,US,1568510
oauth2client,US,1552171
celery,US,1546765
urllib3,NL,1546453
llvmlite,US,1542626
pycparser,DE,1542157
cffi,DE,1541479
rfc3986-validator,US,1532987
ipython-pygments-lexers,US,1531603
langchain-text-splitters,US,1530691
widgetsnbextension,US,1525891
ipywidgets,US,1523346
pathos,US,1523202
dbt-core,US,1521817
boto3,JP,1519900
html5lib,US,1504975
google-cloud-os-login,US,1503093
jupyterlab-widgets,US,1502611
gevent,US,1502517
async-lru,US,1502377
freezegun,US,1500938
google-cloud-appengine-logging,US,1497567
jupyterlab-server,US,1489860
cloudflare,US,1487986
rich-toolkit,US,1482411
certifi,NL,1481618
send2trash,US,1480369
cffi,IE,1477699
azure-mgmt-core,US,1477099
charset-normalizer,NL,1475582
click-didyoumean,US,1472134
pox,US,1466877
ppft,US,1465499
google-cloud-redis,US,1465215
tox,US,1458119
outcome,US,1457415
pytzdata,US,1453532
acme,US,1452032
cryptography,DE,1451516
apache-beam,US,1450831
amqp,US,1450716
six,JP,1449539
ujson,US,1446654
vine,US,1445833
python-dateutil,JP,1444302
pycparser,IE,1444126
pyodbc,US,1441568
certbot-dns-cloudflare,US,1440861
types-pytz,US,1439494
smdebug-rulesconfig,US,1425795
terminado,US,1423170
opencv-python,US,1420904
delta-spark,US,1418320
mock,US,1416313
mysql-connector-python,US,1415637
langchain-community,US,1414530
google-cloud-memcache,US,1414102
billiard,US,1413983
pkgutil-resolve-name,US,1410271
sagemaker,US,1408416
sendgrid,US,1406292
zeep,US,1402386
notebook-shim,US,1400031
boto3-stubs,US,1399325
numpy,IE,1393609
langsmith,IE,1393248
jupyter-events,US,1391041
click-repl,US,1390946
s3transfer,JP,1380290
oss2,US,1373506
apache-airflow-providers-common-sql,US,1372850
langchain-openai,US,1353970
humanize,US,1353269
appdirs,US,1353129
nvidia-cusparselt-cu12,US,1351179
fastapi-cli,US,1349496
nh3,US,1344681
trio-websocket,US,1339495
anthropic,US,1337770
thrift,US,1334946
snowballstemmer,US,1333663
aws-requests-auth,US,1328316
psycopg,US,1325353
langchain-google-vertexai,US,1316280
